Station_Name,Latitude,Longitude,State,Town,Power_kW
BPCL Charging Station,19.334626999999998,84.768619,Odisha,,30.0
Ather Charging Station,19.3057277,84.7817268,Odisha,,1.100000023841858
Ather Grid Charging Station,19.303380999999998,84.79504399999999,Odisha,,1.1
Tata Power Charging Station,19.2991714,84.83176309999999,Odisha,,7.4
Maa Tara Tarini Tour And Travels,19.447535,84.591458,Odisha,,0.0
Electric Vehicle Charging Station,19.180775999999998,84.725327,Odisha,,30.0
Ather Grid Charging Station,19.268919999999998,84.77745,Odisha,,1.100000023841858
BPCL Charging Station,19.183324000000002,84.727616,Odisha,,30.0
Ather Grid Charging Station,19.194212,84.61756,Odisha,,1.100000023841858
Ather Grid Charging Station,18.845465,84.50309999999999,Odisha,,1.100000023841858
DIMILI VILLAGE,18.802062499999998,83.9918125,Odisha,,0.0
Electric Vehicle Charging Station,18.7689167,83.4215387,Odisha,,0.0
Tata Power Charging Station,18.8582131,82.5899051,Odisha,,30.0
BPCL Charging Station,18.84732,82.56517099999999,Odisha,,30.0
Ather Grid Charging Station,18.606023999999998,84.22991499999999,Odisha,,1.100000023841858
Tata Power Charging Station,18.534753,83.651339,Odisha,,30.0
okinawa electric scooter,18.597046499999998,83.7640945,Odisha,,0.0
Electric Vehicle Charging Station,18.6104394,83.39922849999999,Odisha,,0.0
Tata Power Charging Station,18.503509299999997,83.2469705,Odisha,,30.0
Jio-bp,18.7012078,82.879837,Odisha,,7.4
Ather Grid Charging Station,18.295932999999998,83.893148,Odisha,,1.1
Jio-bp pulse Charging Station,18.3262791,83.941268,Odisha,,7.4
Tata Power Charging Station,18.3243588,83.9391102,Odisha,,25.0
DK MOTORS,18.322673599999998,83.893722,Odisha,,0.0
Urzza Charging Station,18.424328499999998,84.04802459999999,Odisha,,0.0
Ather Energy Charging Station,18.309545999999997,83.91882,Odisha,,1.100000023841858
Voltran Charging Station,18.3004408,83.8711628,Odisha,,0.0
Jio-bp,18.289378,83.914594,Odisha,,7.4
Ather Grid Charging Station,18.2791756,83.5261386,Odisha,,1.1
AtherGrid Charging Station,18.337203799999997,82.87792549999999,Odisha,,1.100000023841858
Ather Grid Charging Station,18.3225938,82.8776518,Odisha,,1.100000023841858
Charzer Charging Station,18.295865199999998,82.9144748,Odisha,,0.0
Electric Vehicle Charging Station,18.3137141,82.8937424,Odisha,,7.400000095367432
Tata Power Charging Station,18.139519,83.617595,Odisha,,30.0
Jio-bp pulse Charging Station,18.1499177,83.6353106,Odisha,,7.4
Tata Power Charging Station,18.173032,83.676949,Odisha,,30.0
JoulePoint Charging Station,18.0418515,83.50972209999999,Odisha,,0.0
Bolt.Earth Charging Station,18.0203857,83.4020948,Odisha,,7.4
Ather Grid Charging Station,18.0565007,83.3971128,Odisha,,1.100000023841858
Electric Vehicle Charging Station,18.057097199999998,83.39718810000001,Odisha,,0.0
ParkNConnect Charging Station,18.092801599999998,83.3884047,Odisha,,0.0
Ather Grid Charging Station,18.080786,83.38528,Odisha,,1.100000023841858
Hindustan Petroleum Corporation Limited Charging Station,17.9524227,83.4163581,Odisha,,30.0
Ather Grid Charging Station,18.0801438,83.38535089999999,Odisha,,1.100000023841858
Hindustan Petroleum Corporation Limited,17.952420999999998,83.416311,Odisha,,0.0
Tata Power Charging Station,17.957767699999998,83.1773604,Odisha,,30.0
Ather Grid Charging Station,18.116682,83.13772,Odisha,,1.100000023841858
Tata Power Charging Station,17.957767699999998,83.1773604,Odisha,,30.0
Ather Grid Charging Station,18.116682,83.13772,Odisha,,1.100000023841858
BPCL Charging Station,19.995597,85.479968,Odisha,,30.0
Hindustan Petroleum Corporation Limited,19.9901672,85.4736527,Odisha,,7.4
Ather Grid Charging Station,19.924364,84.57135,Odisha,,1.100000023841858
Jio-bp,20.038907,84.63856899999999,Odisha,,7.4
Tata Power Charging Station,19.924915,83.174075,Odisha,,25.0
Electric Vehicle Charging Station,20.0887924,82.36210489999999,Odisha,,100.0
G.K Rickshaw,19.8134808,85.8362997,Odisha,,7.4
Ather Grid Charging Station,19.7952607,85.8132809,Odisha,,1.100000023841858
KACHERI SECTION TPCODL,19.802419699999998,85.8239399,Odisha,,7.4
